,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,"(41.388356746684984, 2.17085919166507)","(41.3889120165609, 2.1692509793401307)",46.4,200.3,4.316810344827586,18.759,21.522,0.01379430145248436,1.3794301452484359,0.013793426613145606,1,0
1,"(41.3889120165609, 2.1692509793401307)","(41.39013837146819, 2.1675597230080714)",41.3,205.3,4.970944309927361,21.522,24.223,0.013156357591929112,1.3156357591929113,0.0131555985938918,1,0
2,"(41.39013837146819, 2.1675597230080714)","(41.39179965756838, 2.1655030482429694)",26.8,252.1,9.406716417910447,24.223,28.355,0.016390321180017542,1.6390321180017542,0.016388853703559032,1,0
3,"(41.39179965756838, 2.1655030482429694)","(41.393521839080556, 2.1633625901606823)",26.9,261.8,9.732342007434946,28.355,33.332,0.019010699733329056,1.9010699733329055,0.01900841003170399,1,0
4,"(41.393521839080556, 2.1633625901606823)","(41.396140312555424, 2.160124920212736)",41.8,397.2,9.502392344497608,33.332,43.058,0.024486399609276656,2.4486399609276654,0.024481507486535443,1,0
5,"(41.396140312555424, 2.160124920212736)","(41.397081, 2.159061)",38.8,143.8,3.70618556701031,43.058,46.893,0.026669004862099593,2.6669004862099595,0.026662684908350075,1,0
6,"(41.397081, 2.159061)","(41.39835644858191, 2.157307369847146)",22.0,209.4,9.518181818181818,46.893,52.619,0.02734478474118762,2.7344784741187618,0.027337972225904835,0,0
7,"(41.39835644858191, 2.157307369847146)","(41.398845, 2.156644)",371.2,1784.4,4.807112068965518,52.619,54.79,0.0012166562622316587,0.12166562622316587,0.0012166556619127166,1,0
8,"(41.398845, 2.156644)","(41.40027888481943, 2.155028718851668)",32.8,211.7,6.454268292682927,54.79,59.477,0.022139821798102047,2.2139821798102046,0.022136205423531414,0,0
9,"(41.40027888481943, 2.155028718851668)","(41.401808844866274, 2.1532740974486053)",32.5,225.9,6.950769230769231,59.477,65.068,0.02474988757534964,2.4749887575349643,0.024744835860139425,1,0
10,"(41.401808844866274, 2.1532740974486053)","(41.40347389995333, 2.152181294763882)",30.1,209.0,6.943521594684385,65.068,71.554,0.031033493115000747,3.1033493115000748,0.031023536312867396,1,0
11,"(41.40347389995333, 2.152181294763882)","(41.40617556695725, 2.1500790408951804)",57.4,349.5,6.088850174216028,71.554,80.533,0.025690976471689466,2.5690976471689466,0.025685326469201988,1,0
12,"(41.40617556695725, 2.1500790408951804)","(41.40696, 2.149904)",27.6,126.6,4.58695652173913,80.533,86.16,0.044447128994958285,4.444712899495828,0.04441789450474384,1,0
13,"(41.40696, 2.149904)","(41.407329, 2.149954)",81.7,373.7,4.574051407588739,86.16,89.008,0.0076210852896813125,0.7621085289681312,0.007620937748221216,0,0
14,"(41.407329, 2.149954)","(41.408789, 2.14866)",31.7,196.9,6.211356466876972,89.008,88.898,-0.0005586623176818817,-0.05586623176818817,-0.0005586622595617219,0,0
15,"(41.408789, 2.14866)","(41.40925437505612, 2.1477119860036873)",24.4,101.7,4.168032786885246,88.898,91.451,0.025103183622557153,2.5103183622557155,0.025097912525790224,0,0
16,"(41.40925437505612, 2.1477119860036873)","(41.410701, 2.145869)",53.5,223.0,4.168224299065421,91.451,107.782,0.07323318960420754,7.323318960420753,0.07310269030150607,1,0
17,"(41.410701, 2.145869)","(41.41141482853023, 2.144566471252256)",16.2,140.3,8.660493827160495,107.782,116.453,0.061803316101378736,6.180331610137873,0.06172480693982726,0,0
18,"(41.41141482853023, 2.144566471252256)","(41.411578, 2.143294)",14.1,122.1,8.659574468085106,116.453,122.127,0.04647007347813012,4.647007347813012,0.04643666654416248,1,0
19,"(41.411578, 2.143294)","(41.4130260848498, 2.144370952992232)",24.0,185.8,7.741666666666667,122.127,127.173,0.027158221849455898,2.7158221849455897,0.027151547781787612,0,0
20,"(41.4130260848498, 2.144370952992232)","(41.414462, 2.144744)",30.5,173.4,5.685245901639345,127.173,140.514,0.07693777997325998,7.6937779973259985,0.07678650781499545,1,0
21,"(41.414462, 2.144744)","(41.41542942698555, 2.1463799730221784)",25.6,177.7,6.941406249999999,140.514,153.029,0.07042768367838176,7.042768367838176,0.07031158717692662,0,0
22,"(41.41542942698555, 2.1463799730221784)","(41.41783197830339, 2.147738880851058)",43.1,299.1,6.939675174013922,153.029,163.324,0.03441992032412341,3.4419920324123408,0.03440633719699262,1,0
23,"(41.41783197830339, 2.147738880851058)","(41.42014853592378, 2.149116170793489)",41.3,286.5,6.937046004842616,163.324,189.085,0.0899162359054592,8.99162359054592,0.0896750825117867,1,0
24,"(41.42014853592378, 2.149116170793489)","(41.4201260949374, 2.151356704140522)",29.8,207.0,6.946308724832215,189.085,196.998,0.038227026013360504,3.8227026013360503,0.0382084218677616,1,0
25,"(41.4201260949374, 2.151356704140522)","(41.421143, 2.153123)",34.4,197.7,5.747093023255814,196.998,205.33,0.04214466733647888,4.214466733647888,0.042119741821114304,1,0
26,"(41.421143, 2.153123)","(41.41980902350301, 2.155065575492617)",33.9,230.5,6.799410029498525,205.33,202.27,-0.013275477477630152,-1.327547747763015,-0.013274697677549432,0,0
27,"(41.41980902350301, 2.155065575492617)","(41.419688, 2.15647)",18.7,120.2,6.427807486631017,202.27,200.237,-0.016913517144277766,-1.6913517144277765,-0.016911904620989012,1,0
28,"(41.419688, 2.15647)","(41.419004452022165, 2.1580386352825833)",35.9,201.6,5.615598885793872,200.237,186.684,-0.06722715165879992,-6.7227151658799915,-0.06712614793076159,0,0
29,"(41.419004452022165, 2.1580386352825833)","(41.42069218260206, 2.1618408302363945)",89.7,373.6,4.164994425863991,186.684,201.292,0.03910064697265625,3.910064697265625,0.039080738752156174,1,0
30,"(41.42069218260206, 2.1618408302363945)","(41.42021202915854, 2.16400783031781)",47.5,197.8,4.16421052631579,201.292,206.228,0.02495444580324981,2.495444580324981,0.024949267823976006,1,0
31,"(41.42021202915854, 2.16400783031781)","(41.420125751142166, 2.1649188331653675)",19.0,79.3,4.173684210526315,206.228,207.828,0.020176621734118855,2.0176621734118854,0.020173884461585842,1,1
32,"(41.420125751142166, 2.1649188331653675)","(41.42081064950022, 2.1618025893465416)",66.5,277.1,4.166917293233083,207.828,201.038,-0.024503820082720586,-2.4503820082720584,-0.024498917513781412,1,0
33,"(41.42081064950022, 2.1618025893465416)","(41.419147619242494, 2.158197890841306)",84.9,353.6,4.16489988221437,201.038,187.733,-0.03762724173015059,-3.762724173015059,-0.0376094991332821,1,0
34,"(41.419147619242494, 2.158197890841306)","(41.418882, 2.157142)",25.3,114.9,4.541501976284585,187.733,186.469,-0.011000936191117276,-1.1000936191117276,-0.011000492443382966,1,0
35,"(41.418882, 2.157142)","(41.419632, 2.156563)",15.4,106.8,6.9350649350649345,186.469,199.23,0.11948503358533767,11.948503358533767,0.11892123896842482,0,0
36,"(41.419632, 2.156563)","(41.41994457584958, 2.1550845696597594)",21.8,139.5,6.399082568807339,199.23,201.532,0.0165018061155914,1.6501806115591398,0.016500308493505117,0,0
37,"(41.41994457584958, 2.1550845696597594)","(41.420892, 2.153962)",20.9,142.9,6.83732057416268,201.532,202.928,0.009769041943666899,0.9769041943666898,0.009768731194622975,1,0
38,"(41.420892, 2.153962)","(41.421114, 2.152895)",14.4,100.2,6.958333333333333,202.928,205.387,0.02454091450887288,2.454091450887288,0.024535989646732148,0,0
