,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,"(41.377039776795165, 2.1835024659134383)","(41.381144558404316, 2.1825816091706973)",72.9,506.1,6.94238683127572,3.324,4.116,0.0015649087013074282,0.1564908701307428,0.0015649074238538617,1,0
1,"(41.381144558404316, 2.1825816091706973)","(41.38483869935266, 2.185399375374405)",52.7,499.6,9.480075901328274,4.116,5.713,0.0031965565356948645,0.31965565356948644,0.00319654564831809,1,0
2,"(41.38483869935266, 2.185399375374405)","(41.38780425169761, 2.183053903806415)",42.3,434.3,10.267139479905438,5.713,6.624,0.0020976289472024396,0.20976289472024395,0.0020976258706551032,1,0
3,"(41.38780425169761, 2.183053903806415)","(41.389501481336666, 2.1835283350133055)",35.1,263.8,7.515669515669516,6.624,7.121,0.0018840020492819785,0.18840020492819784,0.001883999820221084,1,0
4,"(41.389501481336666, 2.1835283350133055)","(41.39118888092784, 2.181294611542364)",26.2,264.6,10.099236641221376,7.121,9.898,0.010495086736239362,1.049508673623936,0.010494701428137222,1,0
5,"(41.39118888092784, 2.181294611542364)","(41.391566, 2.180164)",26.5,111.8,4.218867924528301,9.898,11.243,0.012030413837466983,1.2030413837466982,0.01202983349716005,1,0
6,"(41.391566, 2.180164)","(41.39127422464899, 2.178718374798961)",21.1,126.8,6.009478672985781,11.243,12.166,0.007279182458149522,0.7279182458149522,0.007279053896109606,0,0
7,"(41.39127422464899, 2.178718374798961)","(41.390248726563414, 2.175962376494219)",23.1,256.6,11.108225108225108,12.166,13.986,0.007092750174685186,0.7092750174685186,0.007092631239699109,1,0
8,"(41.390248726563414, 2.175962376494219)","(41.39018667127584, 2.1728372814754957)",49.2,338.9,6.888211382113821,13.986,17.552,0.010522277913075277,1.0522277913075277,0.010521889602516,1,0
9,"(41.39018667127584, 2.1728372814754957)","(41.392008906298734, 2.170422578715327)",43.7,285.8,6.540045766590389,17.552,22.528,0.017410776179682716,1.7410776179682717,0.017409017226974674,1,0
10,"(41.392008906298734, 2.170422578715327)","(41.393897604496196, 2.167924800121421)",40.0,295.9,7.397499999999999,22.528,28.629,0.020618451612549243,2.0618451612549245,0.02061553058177859,1,0
11,"(41.393897604496196, 2.167924800121421)","(41.39557567564333, 2.165706238617575)",27.0,262.8,9.733333333333334,28.629,33.613,0.018964989544594125,1.8964989544594124,0.018962716317308552,1,0
12,"(41.39557567564333, 2.165706238617575)","(41.396698, 2.16415)",18.5,180.0,9.72972972972973,33.613,38.019,0.024477789137098523,2.4477789137098522,0.02447290217214999,1,0
13,"(41.396698, 2.16415)","(41.397463, 2.163147)",20.6,120.8,5.864077669902912,38.019,41.217,0.026473493765521525,2.6473493765521527,0.02646731175195425,0,0
14,"(41.397463, 2.163147)","(41.3970992793113, 2.1600052974596657)",81.8,360.3,4.404645476772616,41.217,45.872,0.012919796264207995,1.2919796264207994,0.012919077473841084,0,0
15,"(41.3970992793113, 2.1600052974596657)","(41.397081, 2.159061)",23.6,105.5,4.470338983050847,45.872,46.893,0.009677724250684982,0.9677724250684981,0.009677422134444601,1,0
