,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
31,"(41.43270931760881, 2.216040808913763)","(41.434992262405025, 2.220082413476021)",74.1,425.6,5.7435897435897445,9.612,7.447,-0.005086937120982579,-0.5086937120982579,-0.0050868932435597924,1,0
32,"(41.434992262405025, 2.220082413476021)","(41.43650381110598, 2.222934292808382)",37.4,291.5,7.794117647058824,7.447,6.58,-0.0029742713653407417,-0.29742713653407415,-0.002974262594964794,1,0
33,"(41.43650381110598, 2.222934292808382)","(41.437692026524864, 2.2251670415777958)",24.2,228.3,9.433884297520661,6.58,6.207,-0.0016338157904445733,-0.16338157904445733,-0.001633814336702643,1,0
34,"(41.437692026524864, 2.2251670415777958)","(41.438154, 2.226413)",55.7,279.6,5.019748653500898,6.207,6.319,0.0004005722051355801,0.04005722051355801,0.00040057218371056496,1,0
35,"(41.438154, 2.226413)","(41.43937606063456, 2.228341156107582)",28.3,214.0,7.561837455830388,6.319,5.807,-0.002392521528440101,-0.2392521528440101,-0.0023925169633976892,0,0
36,"(41.43937606063456, 2.228341156107582)","(41.44120237877978, 2.2317900507622466)",42.6,351.9,8.26056338028169,5.807,4.758,-0.002980961248121942,-0.2980961248121942,-0.002980952418432664,1,0
37,"(41.44120237877978, 2.2317900507622466)","(41.440867207696066, 2.2341108816939403)",51.4,320.9,6.243190661478599,4.758,4.195,-0.001754439779812393,-0.1754439779812393,-0.001754437979726034,1,1
38,"(41.440867207696066, 2.2341108816939403)","(41.44106110185982, 2.2312176067709513)",50.5,301.0,5.96039603960396,4.195,5.098,0.002999999594450789,0.2999999594450789,0.0029999905945030385,1,0
39,"(41.44106110185982, 2.2312176067709513)","(41.43948960078482, 2.2282443614699434)",38.2,303.5,7.945026178010471,5.098,5.956,0.0028270174683220502,0.282701746832205,0.002827009937157463,1,0
40,"(41.43948960078482, 2.2282443614699434)","(41.43810078512493, 2.2254836564489873)",40.0,285.6,7.140000000000001,5.956,6.407,0.0015791324006409202,0.15791324006409202,0.0015791310880369034,1,0
41,"(41.43810078512493, 2.2254836564489873)","(41.43661644240528, 2.222820137001645)",31.1,279.2,8.97749196141479,6.407,6.692,0.0010207730924502486,0.10207730924502487,0.0010207727379095352,1,0
42,"(41.43661644240528, 2.222820137001645)","(41.43458826883507, 2.2190094968147926)",55.2,389.7,7.059782608695651,6.692,7.768,0.0027610988289018396,0.27610988289018396,0.0027610918123681626,1,0
43,"(41.43458826883507, 2.2190094968147926)","(41.43280263432887, 2.215877404945517)",56.4,327.4,5.804964539007092,7.768,9.676,0.005827732179393547,0.5827732179393548,0.0058276662060263275,1,0
44,"(41.43280263432887, 2.215877404945517)","(41.428803, 2.212216)",88.0,644.7,7.326136363636365,9.676,11.777,0.003258881318175332,0.3258881318175332,0.003258869781475003,1,0
45,"(41.428803, 2.212216)","(41.42683245725177, 2.21048191088089)",38.9,264.4,6.796915167095116,11.777,12.414,0.0024092251522277743,0.24092251522277744,0.002409220490902621,0,0
46,"(41.42683245725177, 2.21048191088089)","(41.426501, 2.210326)",105.7,440.3,4.1655629139072845,12.414,13.331,0.0020826726562999036,0.20826726562999034,0.002082669645092563,1,0
47,"(41.426501, 2.210326)","(41.4250659679751, 2.208422474728865)",46.7,226.2,4.843683083511777,13.331,13.366,0.00015472965257342785,0.015472965257342784,0.00015472965133861996,0,0
48,"(41.4250659679751, 2.208422474728865)","(41.42286572552068, 2.2054850530923256)",35.8,346.3,9.673184357541901,13.366,10.943,-0.006996824532755875,-0.6996824532755874,-0.006996710358303527,1,0
49,"(41.42286572552068, 2.2054850530923256)","(41.422073, 2.204531)",35.3,118.7,3.3626062322946177,10.943,10.726,-0.0018281382277118327,-0.18281382277118327,-0.0018281361911154648,1,0
50,"(41.422073, 2.204531)","(41.42143, 2.203674)",9.1,101.1,11.10989010989011,10.726,10.142,-0.00577645532926867,-0.577645532926867,-0.005776391082053426,0,0
51,"(41.42143, 2.203674)","(41.42006283105021, 2.2017544697962985)",19.9,220.7,11.090452261306533,10.142,8.682,-0.006615315079959097,-0.6615315079959097,-0.006615218581818756,0,0
52,"(41.42006283105021, 2.2017544697962985)","(41.417419299478716, 2.1982291615630265)",37.4,415.8,11.11764705882353,8.682,8.642,-9.620000445653522e-05,-0.009620000445653521,-9.620000415977614e-05,1,0
53,"(41.417419299478716, 2.1982291615630265)","(41.41504736912713, 2.195057152546777)",33.6,373.6,11.119047619047619,8.642,10.499,0.0049705551318999786,0.49705551318999786,0.0049705141976353244,1,0
54,"(41.41504736912713, 2.195057152546777)","(41.41539, 2.193533)",18.2,185.1,10.17032967032967,10.499,-32767.0,-177.07995678011886,-17707.995678011885,-1.5651492203226383,1,0
55,"(41.41539, 2.193533)","(41.416756, 2.191651)",26.5,218.9,8.260377358490567,-32767.0,17.276,149.76828389104614,14976.828389104614,1.5641194449229456,0,0
56,"(41.416756, 2.191651)","(41.41491736111153, 2.1905144555261447)",43.7,271.0,6.20137299771167,17.276,15.902,-0.005070105689917983,-0.5070105689917983,-0.005070062246590228,0,0
57,"(41.41491736111153, 2.1905144555261447)","(41.412523677539426, 2.1873594261297606)",42.8,374.7,8.754672897196262,15.902,20.243,0.011585267155781918,1.1585267155781918,0.011584748878786728,1,0
58,"(41.412523677539426, 2.1873594261297606)","(41.41032401499738, 2.184429036957633)",51.2,345.8,6.75390625,20.243,24.905,0.013481783273938489,1.3481783273938488,0.013480966553524532,1,0
59,"(41.41032401499738, 2.184429036957633)","(41.407311309349694, 2.180416895405847)",42.6,473.5,11.115023474178404,24.905,25.378,0.0009989431314760427,0.09989431314760427,0.0009989427991986602,1,0
60,"(41.407311309349694, 2.180416895405847)","(41.40559041282788, 2.178123682749587)",25.4,270.5,10.649606299212598,25.378,28.014,0.009744915636101404,0.9744915636101404,0.009744607183631569,1,0
61,"(41.40559041282788, 2.178123682749587)","(41.40395439267403, 2.175936919630538)",26.5,257.7,9.724528301886792,28.014,29.111,0.004256888327785458,0.4256888327785458,0.00425686261490117,1,0
62,"(41.40395439267403, 2.175936919630538)","(41.40127294083512, 2.172350105446734)",43.1,422.4,9.80046403712297,29.111,31.345,0.005288823987498428,0.5288823987498428,0.005288774675932024,1,0
63,"(41.40127294083512, 2.172350105446734)","(41.39983881487022, 2.1704281920231985)",35.0,226.3,6.465714285714286,31.345,31.168,-0.0007821477939742253,-0.07821477939742252,-0.0007821476344799645,1,0
64,"(41.39983881487022, 2.1704281920231985)","(41.39794850621017, 2.1679220178463963)",46.3,297.3,6.421166306695465,31.168,32.536,0.004601412817078971,0.46014128170789714,0.004601380342253799,1,0
65,"(41.39794850621017, 2.1679220178463963)","(41.395337842946304, 2.1644542000502525)",46.5,409.9,8.81505376344086,32.536,34.984,0.005972192880147026,0.5972192880147026,0.005972121878090548,1,0
66,"(41.395337842946304, 2.1644542000502525)","(41.39333604025315, 2.1617992601541283)",38.1,314.1,8.244094488188976,34.984,34.79,-0.0006176384722719675,-0.06176384722719675,-0.0006176383937336368,1,0
67,"(41.39333604025315, 2.1617992601541283)","(41.391021357114504, 2.1587318610871247)",32.7,363.1,11.103975535168196,34.79,34.414,-0.0010355258900677327,-0.10355258900677326,-0.001035525519931713,1,0
68,"(41.391021357114504, 2.1587318610871247)","(41.38951230567803, 2.1567207392689567)",21.3,237.2,11.136150234741784,34.414,31.837,-0.010864256204280243,-1.0864256204280243,-0.010863828791025128,1,0
69,"(41.38951230567803, 2.1567207392689567)","(41.386791456092546, 2.1531194246954355)",40.1,426.6,10.638403990024937,31.837,29.88,-0.004587437253684657,-0.45874372536846575,-0.004587405073860039,1,0
70,"(41.386791456092546, 2.1531194246954355)","(41.38449691799975, 2.150058386664805)",42.2,361.6,8.568720379146919,29.88,28.693,-0.003282628228179121,-0.32826282281791214,-0.0032826164374398265,1,0
71,"(41.38449691799975, 2.150058386664805)","(41.38205137184844, 2.1468007532961586)",50.8,439.0,8.641732283464567,28.693,29.515,0.001872434159889308,0.1872434159889308,0.0018724319716364793,1,0
72,"(41.38205137184844, 2.1468007532961586)","(41.380709, 2.143228)",37.4,334.4,8.941176470588236,29.515,31.382,0.005583135705245169,0.5583135705245169,0.005583077694936674,1,0
73,"(41.380709, 2.143228)","(41.380529530158974, 2.1415341047358365)",17.8,143.2,8.044943820224718,31.382,30.634,-0.005223458039693992,-0.5223458039693992,-0.0052234105339672085,0,0
74,"(41.380529530158974, 2.1415341047358365)","(41.379869, 2.13972)",34.5,172.5,5.0,30.634,30.748,0.0006608603657155797,0.06608603657155797,0.0006608602695083408,1,0
75,"(41.379869, 2.13972)","(41.378430241551946, 2.138347383584183)",60.4,206.5,3.4188741721854305,30.748,30.575,-0.00083776478617301,-0.083776478617301,-0.0008377645901780663,0,0
76,"(41.378430241551946, 2.138347383584183)","(41.37554737996402, 2.135554292838076)",63.6,414.5,6.517295597484277,30.575,31.176,0.0014499392814314122,0.14499392814314122,0.001449938265352016,1,0
