,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,"(41.3531279267824, 2.1196322626942123)","(41.35276297902497, 2.120214007348505)",42.0,228.0,5.428571428571429,7.192,6.481,-0.003118420902051424,-0.31184209020514236,-0.0031184107936981956,1,0
1,"(41.35276297902497, 2.120214007348505)","(41.35549744839765, 2.1238525313396464)",44.4,431.4,9.716216216216216,6.481,7.778,0.0030064903368925574,0.3006490336892557,0.0030064812784021885,1,0
2,"(41.35549744839765, 2.1238525313396464)","(41.357419096563426, 2.126403894186807)",43.0,316.4,7.35813953488372,7.778,6.873,-0.002860302569441187,-0.28603025694411865,-0.002860294769118985,1,0
3,"(41.357419096563426, 2.126403894186807)","(41.35930301420109, 2.128855066497922)",37.0,297.0,8.027027027027026,6.873,6.754,-0.00040067325938831675,-0.04006732593883167,-0.00040067323794708255,1,0
4,"(41.35930301420109, 2.128855066497922)","(41.36178161785347, 2.131960361018733)",43.2,379.1,8.775462962962964,6.754,8.348,0.0042046937109832235,0.42046937109832233,0.00420466893235644,1,0
5,"(41.36178161785347, 2.131960361018733)","(41.363662045112825, 2.1344402265541818)",26.5,294.7,11.120754716981132,8.348,10.04,0.0057414332850326474,0.5741433285032648,0.005741370199303952,1,0
6,"(41.363662045112825, 2.1344402265541818)","(41.364918, 2.135935)",36.7,203.2,5.536784741144413,10.04,11.232,0.005866143647141344,0.5866143647141344,0.005866076360653623,1,0
7,"(41.364918, 2.135935)","(41.365783703005995, 2.137155271369642)",20.4,142.6,6.990196078431373,11.232,11.739,0.0035553995054868294,0.3555399505486829,0.0035553845244913,0,0
8,"(41.365783703005995, 2.137155271369642)","(41.36750691599295, 2.1392984121365934)",44.5,262.5,5.898876404494382,11.739,12.23,0.0018704732259114583,0.18704732259114581,0.0018704710445264616,1,0
9,"(41.36750691599295, 2.1392984121365934)","(41.368232, 2.140108)",21.5,120.1,5.586046511627907,12.23,12.636,0.0033805173799259084,0.33805173799259086,0.003380504502611878,1,0
10,"(41.368232, 2.140108)","(41.369504027643934, 2.141953271863197)",56.3,226.2,4.017761989342806,12.636,15.87,0.014297083138787147,1.4297083138787148,0.014296109118922628,0,0
11,"(41.369504027643934, 2.141953271863197)","(41.370964, 2.143969)",60.1,262.9,4.374376039933444,15.87,18.313,0.009292506047100475,0.9292506047100475,0.009292238589587264,1,0
12,"(41.370964, 2.143969)","(41.37170525644771, 2.1448802264793954)",33.3,114.0,3.4234234234234235,18.313,19.553,0.010877190974720737,1.0877190974720736,0.010876762033110192,0,0
13,"(41.37170525644771, 2.1448802264793954)","(41.373337, 2.147172)",68.1,278.4,4.0881057268722465,19.553,-32767.0,-117.76779700969828,-11776.779700969828,-1.5623052452560253,1,0
14,"(41.373337, 2.147172)","(41.37429099828108, 2.1485752998966596)",31.3,162.0,5.175718849840256,-32767.0,25.608,202.42351466049382,20242.351466049382,1.5658562294607996,0,0
15,"(41.37429099828108, 2.1485752998966596)","(41.375495153567975, 2.1501872583993817)",51.3,201.4,3.925925925925926,25.608,26.217,0.003023829455408818,0.3023829455408818,0.0030238202392862405,1,0
16,"(41.375495153567975, 2.1501872583993817)","(41.376999, 2.15175)",33.5,217.7,6.498507462686566,26.217,23.103,-0.014304080905309774,-1.4304080905309773,-0.014303105454648071,1,0
17,"(41.376999, 2.15175)","(41.378385053005495, 2.153719341344082)",35.4,225.2,6.361581920903955,23.103,19.781,-0.014751334385168914,-1.4751334385168913,-0.014750264552213925,0,0
18,"(41.378385053005495, 2.153719341344082)","(41.38003583962736, 2.155913015340318)",33.1,259.3,7.833836858006042,19.781,18.333,-0.005584265153195653,-0.5584265153195653,-0.005584207107674654,1,0
19,"(41.38003583962736, 2.155913015340318)","(41.38242317108947, 2.159086247817935)",46.7,375.1,8.032119914346895,18.333,18.314,-5.065584398847807e-05,-0.005065584398847807,-5.0655843945150196e-05,1,0
20,"(41.38242317108947, 2.159086247817935)","(41.38437748401132, 2.1616854037895803)",39.5,307.0,7.772151898734177,18.314,20.431,0.0068957673610227505,0.6895767361022751,0.0068956580625334765,1,0
21,"(41.38437748401132, 2.1616854037895803)","(41.386070445993425, 2.163970342044979)",34.9,268.9,7.70487106017192,20.431,21.369,0.003488284586618806,0.3488284586618806,0.0034882704380894075,1,0
22,"(41.386070445993425, 2.163970342044979)","(41.38793112806899, 2.1664308690297944)",35.5,291.7,8.216901408450704,21.369,22.738,0.0046931826827213054,0.4693182682721305,0.004693148225886213,1,0
23,"(41.38793112806899, 2.1664308690297944)","(41.390143208467066, 2.169376984503604)",58.8,357.5,6.079931972789116,22.738,22.286,-0.0012643400605741914,-0.12643400605741914,-0.0012643393868687965,1,0
24,"(41.390143208467066, 2.169376984503604)","(41.39187016602525, 2.171675464781671)",40.9,271.4,6.635696821515892,22.286,20.751,-0.005655857949197161,-0.5655857949197162,-0.005655797642451972,1,0
25,"(41.39187016602525, 2.171675464781671)","(41.393789594993514, 2.1742188443601735)",37.7,301.7,8.002652519893898,20.751,18.752,-0.0066257827045667,-0.6625782704566701,-0.006625685747632931,1,0
26,"(41.393789594993514, 2.1742188443601735)","(41.3961007519702, 2.177304457347607)",58.8,387.5,6.590136054421769,18.752,17.563,-0.003068389892578125,-0.3068389892578125,-0.0030683802629853335,1,0
